,0
1159,2
1160,2
1161,2
1162,2
1163,2
1164,2
1165,2
1166,2
1167,2
1168,2
1169,2
1170,2
1171,2
1172,2
1173,2
1174,2
1175,0
1176,2
1177,2
1178,2
1179,2
1180,2
1181,0
1182,2
1183,2
1184,2
1185,2
1186,2
1187,2
1188,2
1189,1
1190,2
1191,2
1192,0
1193,2
1194,2
1195,2
1196,2
1197,1
1198,2
1199,2
1200,2
1201,2
1202,0
1203,2
1204,2
1205,2
1206,1
1207,2
1208,2
1209,2
1210,2
1211,2
1212,2
1213,2
1214,2
1215,2
1216,2
1217,2
1218,2
1219,2
1220,2
1221,1
1222,2
1223,1
1224,0
1225,2
1226,2
1227,2
1228,2
1229,0
1230,0
1231,2
1232,2
1233,2
1234,2
1235,2
1236,0
1237,2
1238,2
1239,2
1240,2
1241,2
1242,2
1243,2
1244,2
1245,2
1246,2
1247,2
1248,2
1249,2
1250,2
1251,2
1252,0
1253,2
1254,2
1255,0
1256,2
1257,2
1258,2
1259,2
1260,2
1261,2
1262,2
1263,2
1264,2
1265,1
1266,2
1267,2
1268,2
1269,1
1270,2
1271,2
1272,0
1273,2
1274,0
1275,2
1276,2
1277,2
1278,2
1279,2
1280,2
1281,2
1282,2
1283,2
1284,2
1285,2
1286,2
1287,2
1288,2
1289,2
1290,2
1291,2
1292,2
1293,2
1294,2
1295,2
1296,0
1297,2
1298,2
1299,2
1300,2
1301,2
1302,2
1303,1
1304,2
1305,2
1306,1
1307,2
1308,2
1309,2
1310,2
1311,2
1312,2
1313,0
1314,2
1315,2
1316,2
1317,2
1318,2
1319,2
1320,2
1321,2
1322,2
1323,2
1324,2
1325,2
1326,2
1327,2
1328,1
1329,2
1330,2
1331,2
1332,2
1333,2
1334,2
1335,2
1336,2
1337,2
1338,2
1339,2
1340,2
1341,2
1342,2
1343,2
1344,2
1345,2
1346,2
1347,2
1348,2
1349,2
1350,2
1351,2
1352,2
1353,2
1354,0
1355,2
1356,2
1357,2
1358,2
1359,2
1360,2
1361,2
1362,2
1363,2
1364,2
1365,2
1366,2
1367,2
1368,2
1369,2
1370,2
1371,2
1372,2
1373,2
1374,2
1375,2
1376,2
1377,2
1378,2
1379,2
1380,2
1381,2
1382,2
1383,2
1384,2
1385,2
1386,0
1387,2
1388,0
